Row Labels,Average of AVG_DEPTH,Average of Percent_Cvr
Biscayne,7.424712939,8.379468846
1011,2.51459992,6.083333333
Agaricia agaricites,2.743199912,1
Bare Substrate,2.51459992,8.5
Dichocoenia stokesii,2.285999927,2
Dictyota spp,2.51459992,10
Encrusting gorgonian,2.51459992,2.5
Erythropodium caribaeorum,2.51459992,3.5
Gorgonians,2.51459992,8
Halimeda spp,2.51459992,2
MacroOtherFleshy,2.51459992,17.5
Millepora spp,2.51459992,2.5
Orbicella faveolata,2.285999927,3
Peysonnellia,2.743199912,2
Porifera spp,2.51459992,9.5
Porites astreoides,2.743199912,4
Porites porites,2.51459992,2.5
Rhodophyta cru. spp,2.51459992,5.5
Siderastrea siderea,2.285999927,7
Turf Algae Free of Sediment,2.51459992,18.5
1012,5.333999829,6.25
Bare Substrate,5.333999829,15
Dictyota spp,5.333999829,2
Encrusting gorgonian,5.333999829,2
Gorgonians,5.333999829,11
Halimeda spp,5.333999829,4
MacroOtherCalcareous,5.333999829,1
MacroOtherFleshy,5.333999829,1
Magnoliophyta spp,5.333999829,3
Orbicella faveolata,5.333999829,4
Palythoa spp,5.333999829,2
Porifera spp,5.333999829,9
Porites astreoides,5.333999829,1
Rhodophyta cru. spp,5.333999829,4
Siderastrea siderea,5.333999829,5
Stephanocoenia intersepta,5.333999829,5
Turf Algae with Sediment,5.333999829,31
1013,4.176712366,6.78125
Agaricia agaricites,4.419599859,1
Bare Substrate,4.190999866,14
Dichocoenia stokesii,4.190999866,1
Dictyota spp,4.190999866,10
Encrusting gorgonian,4.190999866,3
Erythropodium caribaeorum,4.190999866,3.5
Gorgonians,4.190999866,1.5
Halimeda spp,4.419599859,3
Palythoa spp,3.962399873,2
Peysonnellia,3.962399873,1
Porifera spp,4.190999866,15.5
Porites furcata,3.962399873,1
Rhodophyta cru. spp,4.190999866,7.5
Siderastrea siderea,4.419599859,8
Solenastrea bournoni,3.962399873,1
Turf Algae Free of Sediment,4.190999866,35.5
1015,5.31494983,6.75
Bare Substrate,5.333999829,11
Dichocoenia stokesii,5.486399824,1
Dictyota spp,5.333999829,5.5
Encrusting gorgonian,5.333999829,3.5
Erythropodium caribaeorum,5.333999829,3
Gorgonians,5.333999829,2
Halimeda spp,5.181599834,4
MacroOtherFleshy,5.333999829,1.5
Meandrina meandrites,5.181599834,5
Millepora spp,5.181599834,2
Montastraea cavernosa,5.181599834,2
Palythoa spp,5.486399824,2
Peysonnellia,5.333999829,2.5
Porifera spp,5.333999829,11
